score,Y_value,Z_value
90.0,-2645.0,1630.0
76.0,-2635.0,1630.0
102.0,-2625.0,1630.0
78.0,-2615.0,1630.0
81.0,-2605.0,1630.0
70.0,-2595.0,1630.0
107.0,-2585.0,1630.0
80.0,-2575.0,1630.0
71.0,-2565.0,1630.0
78.0,-2555.0,1630.0
73.0,-2545.0,1630.0
99.0,-2535.0,1630.0
82.0,-2525.0,1630.0
75.0,-2515.0,1630.0
101.0,-2505.0,1630.0
89.0,-2495.0,1630.0
83.0,-2485.0,1630.0
94.0,-2475.0,1630.0
97.0,-2465.0,1630.0
100.0,-2455.0,1630.0
94.0,-2445.0,1630.0
108.0,-2435.0,1630.0
120.0,-2425.0,1630.0
111.0,-2415.0,1630.0
77.0,-2405.0,1630.0
74.0,-2395.0,1630.0
67.0,-2385.0,1630.0
76.0,-2375.0,1630.0
101.0,-2365.0,1630.0
89.0,-2355.0,1630.0
103.0,-2345.0,1630.0
82.0,-2335.0,1630.0
85.0,-2325.0,1630.0
79.0,-2315.0,1630.0
63.0,-2305.0,1630.0
66.0,-2295.0,1630.0
99.0,-2285.0,1630.0
15.0,-2285.0,1640.0
16.0,-2295.0,1640.0
11.0,-2305.0,1640.0
15.0,-2315.0,1640.0
19.0,-2325.0,1640.0
15.0,-2335.0,1640.0
15.0,-2345.0,1640.0
12.0,-2355.0,1640.0
17.0,-2365.0,1640.0
16.0,-2375.0,1640.0
16.0,-2385.0,1640.0
15.0,-2395.0,1640.0
11.0,-2405.0,1640.0
9.0,-2415.0,1640.0
11.0,-2425.0,1640.0
8.0,-2435.0,1640.0
15.0,-2445.0,1640.0
14.0,-2455.0,1640.0
13.0,-2465.0,1640.0
11.0,-2475.0,1640.0
13.0,-2485.0,1640.0
14.0,-2495.0,1640.0
14.0,-2505.0,1640.0
17.0,-2515.0,1640.0
15.0,-2525.0,1640.0
13.0,-2535.0,1640.0
19.0,-2545.0,1640.0
19.0,-2555.0,1640.0
22.0,-2565.0,1640.0
21.0,-2575.0,1640.0
9.0,-2585.0,1640.0
14.0,-2595.0,1640.0
12.0,-2605.0,1640.0
17.0,-2615.0,1640.0
18.0,-2625.0,1640.0
15.0,-2635.0,1640.0
15.0,-2645.0,1640.0
16.0,-2655.0,1640.0
13.0,-2665.0,1640.0
9.0,-2675.0,1640.0
13.0,-2685.0,1640.0
16.0,-2695.0,1640.0
8.0,-2705.0,1640.0
10.0,-2715.0,1640.0
9.0,-2725.0,1640.0
17.0,-2735.0,1640.0
14.0,-2745.0,1640.0
18.0,-2755.0,1640.0
25.0,-2765.0,1640.0
21.0,-2775.0,1640.0
18.0,-2785.0,1640.0
15.0,-2795.0,1640.0
19.0,-2805.0,1640.0
30.0,-2815.0,1640.0
26.0,-2825.0,1640.0
32.0,-2835.0,1640.0
48.0,-2845.0,1640.0
33.0,-2855.0,1640.0
39.0,-2865.0,1640.0
33.0,-2875.0,1640.0
33.0,-2885.0,1640.0
54.0,-2895.0,1640.0
55.0,-2905.0,1640.0
53.0,-2915.0,1640.0
74.0,-2925.0,1640.0
65.0,-2935.0,1640.0
60.0,-2945.0,1640.0
59.0,-2955.0,1640.0
61.0,-2965.0,1640.0
56.0,-2975.0,1640.0
55.0,-2985.0,1640.0
64.0,-2995.0,1640.0
56.0,-3005.0,1640.0
59.0,-3015.0,1640.0
74.0,-3025.0,1640.0
73.0,-3035.0,1640.0
59.0,-3045.0,1640.0
90.0,-3055.0,1640.0
65.0,-3065.0,1640.0
72.0,-3075.0,1640.0
53.0,-3085.0,1640.0
46.0,-3095.0,1640.0
50.0,-3105.0,1640.0
55.0,-3115.0,1640.0
45.0,-3125.0,1640.0
55.0,-3135.0,1640.0
58.0,-3145.0,1640.0
39.0,-3155.0,1640.0
43.0,-3165.0,1640.0
45.0,-3175.0,1640.0
52.0,-3185.0,1640.0
45.0,-3195.0,1640.0
43.0,-3205.0,1640.0
39.0,-3215.0,1640.0
38.0,-3225.0,1640.0
6.0,-3235.0,1650.0
6.0,-3225.0,1650.0
6.0,-3215.0,1650.0
6.0,-3205.0,1650.0
4.0,-3195.0,1650.0
3.0,-3185.0,1650.0
4.0,-3175.0,1650.0
6.0,-3155.0,1650.0
3.0,-3145.0,1650.0
7.0,-3135.0,1650.0
4.0,-3125.0,1650.0
3.0,-3115.0,1650.0
6.0,-3105.0,1650.0
5.0,-3095.0,1650.0
9.0,-3075.0,1650.0
4.0,-3065.0,1650.0
9.0,-3055.0,1650.0
10.0,-3045.0,1650.0
12.0,-3035.0,1650.0
4.0,-3025.0,1650.0
4.0,-3015.0,1650.0
8.0,-3005.0,1650.0
7.0,-2995.0,1650.0
8.0,-2985.0,1650.0
8.0,-2975.0,1650.0
6.0,-2965.0,1650.0
5.0,-2955.0,1650.0
6.0,-2945.0,1650.0
4.0,-2935.0,1650.0
3.0,-2925.0,1650.0
7.0,-2915.0,1650.0
3.0,-2905.0,1650.0
4.0,-2895.0,1650.0
8.0,-2885.0,1650.0
5.0,-2875.0,1650.0
4.0,-2865.0,1650.0
3.0,-2855.0,1650.0
7.0,-2835.0,1650.0
6.0,-2825.0,1650.0
4.0,-2815.0,1650.0
5.0,-2805.0,1650.0
4.0,-2795.0,1650.0
7.0,-2785.0,1650.0
5.0,-2775.0,1650.0
3.0,-2765.0,1650.0
3.0,-2755.0,1650.0
5.0,-2745.0,1650.0
5.0,-2725.0,1650.0
4.0,-2705.0,1650.0
4.0,-2695.0,1650.0
5.0,-2665.0,1650.0
3.0,-2655.0,1650.0
8.0,-2645.0,1650.0
4.0,-2635.0,1650.0
7.0,-2615.0,1650.0
6.0,-2605.0,1650.0
7.0,-2595.0,1650.0
6.0,-2585.0,1650.0
3.0,-2575.0,1650.0
4.0,-2565.0,1650.0
5.0,-2545.0,1650.0
5.0,-2535.0,1650.0
7.0,-2515.0,1650.0
4.0,-2505.0,1650.0
4.0,-2485.0,1650.0
3.0,-2475.0,1650.0
5.0,-2465.0,1650.0
4.0,-2455.0,1650.0
8.0,-2445.0,1650.0
4.0,-2435.0,1650.0
4.0,-2425.0,1650.0
5.0,-2415.0,1650.0
3.0,-2375.0,1650.0
5.0,-2365.0,1650.0
3.0,-2355.0,1650.0
7.0,-2345.0,1650.0
4.0,-2335.0,1650.0
5.0,-2325.0,1650.0
5.0,-2315.0,1650.0
7.0,-2305.0,1650.0
4.0,-2295.0,1650.0
3.0,-2285.0,1660.0
6.0,-2295.0,1660.0
5.0,-2305.0,1660.0
3.0,-2325.0,1660.0
4.0,-2335.0,1660.0
4.0,-2345.0,1660.0
3.0,-2355.0,1660.0
4.0,-2365.0,1660.0
4.0,-2375.0,1660.0
4.0,-2385.0,1660.0
3.0,-2395.0,1660.0
3.0,-2405.0,1660.0
3.0,-2435.0,1660.0
4.0,-2445.0,1660.0
5.0,-2455.0,1660.0
4.0,-2465.0,1660.0
3.0,-2475.0,1660.0
3.0,-2495.0,1660.0
4.0,-2505.0,1660.0
5.0,-2515.0,1660.0
3.0,-2525.0,1660.0
3.0,-2575.0,1660.0
3.0,-2605.0,1660.0
3.0,-2625.0,1660.0
6.0,-2635.0,1660.0
3.0,-2685.0,1660.0
6.0,-2695.0,1660.0
3.0,-2715.0,1660.0
5.0,-2725.0,1660.0
8.0,-2735.0,1660.0
4.0,-2765.0,1660.0
4.0,-2775.0,1660.0
9.0,-2805.0,1660.0
6.0,-2815.0,1660.0
3.0,-2825.0,1660.0
4.0,-2835.0,1660.0
4.0,-2845.0,1660.0
3.0,-2855.0,1660.0
6.0,-2865.0,1660.0
5.0,-2875.0,1660.0
5.0,-2885.0,1660.0
6.0,-2895.0,1660.0
5.0,-2905.0,1660.0
5.0,-2915.0,1660.0
5.0,-2935.0,1660.0
4.0,-2955.0,1660.0
6.0,-2965.0,1660.0
3.0,-2975.0,1660.0
5.0,-2995.0,1660.0
3.0,-3005.0,1660.0
5.0,-3025.0,1660.0
3.0,-3045.0,1660.0
4.0,-3055.0,1660.0
4.0,-3085.0,1660.0
3.0,-3095.0,1660.0
5.0,-3105.0,1660.0
4.0,-3135.0,1660.0
4.0,-3145.0,1660.0
6.0,-3165.0,1660.0
5.0,-3185.0,1660.0
4.0,-3195.0,1660.0
5.0,-3225.0,1660.0
3.0,-3205.0,1670.0
4.0,-3175.0,1670.0
3.0,-3165.0,1670.0
4.0,-3135.0,1670.0
4.0,-3105.0,1670.0
3.0,-3085.0,1670.0
4.0,-3065.0,1670.0
4.0,-3045.0,1670.0
3.0,-3025.0,1670.0
3.0,-2985.0,1670.0
3.0,-2975.0,1670.0
3.0,-2965.0,1670.0
3.0,-2935.0,1670.0
3.0,-2925.0,1670.0
3.0,-2905.0,1670.0
4.0,-2895.0,1670.0
3.0,-2885.0,1670.0
3.0,-2855.0,1670.0
5.0,-2845.0,1670.0
3.0,-2835.0,1670.0
4.0,-2825.0,1670.0
3.0,-2805.0,1670.0
4.0,-2775.0,1670.0
4.0,-2765.0,1670.0
3.0,-2755.0,1670.0
4.0,-2745.0,1670.0
3.0,-2715.0,1670.0
3.0,-2655.0,1670.0
3.0,-2625.0,1670.0
5.0,-2575.0,1670.0
4.0,-2565.0,1670.0
4.0,-2535.0,1670.0
4.0,-2525.0,1670.0
4.0,-2425.0,1670.0
4.0,-2405.0,1670.0
4.0,-2345.0,1670.0
6.0,-2335.0,1670.0
4.0,-2315.0,1670.0
3.0,-2305.0,1670.0
6.0,-2295.0,1670.0
3.0,-2325.0,1680.0
3.0,-2345.0,1680.0
4.0,-2365.0,1680.0
3.0,-2385.0,1680.0
6.0,-2435.0,1680.0
3.0,-2455.0,1680.0
5.0,-2515.0,1680.0
3.0,-2525.0,1680.0
3.0,-2535.0,1680.0
3.0,-2565.0,1680.0
3.0,-2585.0,1680.0
4.0,-2605.0,1680.0
6.0,-2615.0,1680.0
3.0,-2645.0,1680.0
3.0,-2675.0,1680.0
3.0,-2695.0,1680.0
3.0,-2705.0,1680.0
4.0,-2735.0,1680.0
4.0,-2765.0,1680.0
3.0,-2775.0,1680.0
4.0,-2835.0,1680.0
3.0,-2845.0,1680.0
4.0,-2855.0,1680.0
3.0,-2865.0,1680.0
3.0,-2905.0,1680.0
3.0,-2935.0,1680.0
3.0,-2955.0,1680.0
3.0,-2975.0,1680.0
3.0,-3045.0,1680.0
5.0,-3055.0,1680.0
3.0,-3065.0,1680.0
3.0,-3095.0,1680.0
5.0,-3115.0,1680.0
3.0,-3145.0,1680.0
5.0,-3175.0,1680.0
3.0,-3215.0,1690.0
4.0,-3175.0,1690.0
5.0,-3155.0,1690.0
3.0,-3135.0,1690.0
3.0,-3125.0,1690.0
5.0,-3095.0,1690.0
3.0,-3085.0,1690.0
3.0,-3045.0,1690.0
5.0,-2975.0,1690.0
3.0,-2935.0,1690.0
4.0,-2835.0,1690.0
4.0,-2785.0,1690.0
3.0,-2765.0,1690.0
3.0,-2745.0,1690.0
3.0,-2725.0,1690.0
3.0,-2715.0,1690.0
3.0,-2645.0,1690.0
6.0,-2635.0,1690.0
3.0,-2595.0,1690.0
3.0,-2575.0,1690.0
3.0,-2485.0,1690.0
3.0,-2465.0,1690.0
3.0,-2405.0,1690.0
3.0,-2365.0,1690.0
4.0,-2345.0,1690.0
3.0,-2345.0,1700.0
4.0,-2425.0,1700.0
4.0,-2495.0,1700.0
3.0,-2525.0,1700.0
3.0,-2545.0,1700.0
5.0,-2605.0,1700.0
3.0,-2645.0,1700.0
3.0,-2665.0,1700.0
4.0,-2765.0,1700.0
5.0,-2825.0,1700.0
3.0,-2865.0,1700.0
3.0,-2885.0,1700.0
3.0,-2905.0,1700.0
3.0,-2915.0,1700.0
4.0,-2975.0,1700.0
3.0,-3025.0,1700.0
3.0,-3045.0,1700.0
3.0,-3055.0,1700.0
3.0,-3065.0,1700.0
5.0,-3195.0,1710.0
3.0,-3005.0,1710.0
3.0,-2965.0,1710.0
3.0,-2925.0,1710.0
3.0,-2905.0,1710.0
3.0,-2815.0,1710.0
3.0,-2755.0,1710.0
3.0,-2665.0,1710.0
3.0,-2645.0,1710.0
4.0,-2625.0,1710.0
3.0,-2475.0,1710.0
3.0,-2455.0,1710.0
6.0,-2445.0,1710.0
3.0,-2435.0,1710.0
14.0,-2415.0,1710.0
3.0,-2405.0,1710.0
4.0,-2325.0,1710.0
3.0,-2305.0,1710.0
3.0,-2285.0,1720.0
4.0,-2305.0,1720.0
3.0,-2315.0,1720.0
6.0,-2335.0,1720.0
3.0,-2415.0,1720.0
4.0,-2495.0,1720.0
4.0,-2505.0,1720.0
3.0,-2675.0,1720.0
3.0,-3035.0,1720.0
4.0,-2835.0,1730.0
5.0,-2615.0,1730.0
5.0,-2515.0,1730.0
3.0,-2445.0,1730.0
3.0,-2365.0,1730.0
3.0,-2335.0,1740.0
3.0,-2415.0,1740.0
4.0,-2505.0,1740.0
3.0,-2565.0,1740.0
3.0,-2595.0,1740.0
3.0,-3065.0,1740.0
3.0,-2585.0,1760.0
3.0,-2915.0,1760.0
4.0,-2845.0,1770.0
3.0,-2355.0,1770.0
3.0,-2395.0,1790.0
3.0,-2315.0,1790.0
